mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
43064331.00799551,2467138.539788921,1957953.3014708988,12889778.374757288,7376825.805002977,13233732.470794678,12087390.004924469,7048052.85602664,1420406.8860167821,0
48522191.95626315,3595380.4109960776,3506897.3463682598,10913965.773431316,2337294.5451562493,2739640.8870312497,10186926.704646226,5067961.12889674,3811305.2610970675,1
14633869.775679741,2589253.332968626,2785357.882748971,5267074.3091143835,1127242.9662499996,3403397.87375,7529745.237500001,2503930.394065005,2734689.6932396404,2
17085283.916906085,3119093.4167884067,2676072.219161874,4938199.8193168305,2260517.267499999,2878303.0137500004,21232462.690624997,5362405.128425977,5154785.140527255,3
41289750.9025044,5340006.002028635,4287962.076027303,5027951.549387606,4484374.920581596,5537132.468047411,16284782.420540495,6097173.615637943,7956094.54844357,4
28436567.22875507,8264890.364825538,5187083.826605565,13667201.971132023,1898237.3860339453,5843424.955929166,7917286.092420222,5593983.964314812,4833376.735217723,5
18197094.29724559,1917870.250269385,3136343.7764898026,8926008.585344177,2328051.108814742,7298286.713125,8968738.810156252,2975090.618088507,1949350.0745946718,6
16509449.876045281,3123474.671797295,1802166.8219631375,4365919.827852415,2123844.6174999992,4699615.671817213,7806454.953125,2524129.4103691205,2787728.5267632734,7
48798290.232746705,8281383.394872165,7873677.972741583,10877259.661937162,9772753.975625,5353032.94895426,10297500.617412992,9059875.785855012,4050802.073203519,8
73259448.00493826,23751537.064076297,24543275.454220787,28410010.01940675,12555308.451999998,26455407.476841025,28215788.40976131,20124838.891521547,21879487.75536479,9
