mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
4760.099692417452,3411.6834994820956,2513.56973868431,3535.697875392796,3007.124539291563,3253.3279330755295,3073.8360942942904,2435.740135052679,2806.306635631931,0
6214.281127346788,5652.666064864054,3026.0213266588416,4606.406930303833,3813.0332196982467,2994.3762498309493,3083.047547130868,3299.762329000342,3440.0182289780523,1
6882.236128679028,4866.628514557662,3582.1624148673077,5821.010751488768,3852.702608533023,3537.0347329144975,3882.7298834158514,4115.185007108171,3813.2415347203305,2
5131.4237490559235,4152.503442532292,2956.5744506960223,3713.206471327138,3273.6663502965953,3407.776542532994,3580.8988014145402,3401.5823495454747,3945.5349374528682,3
4985.267310168935,2565.529433449583,2428.6717960448955,3395.6784036721187,2676.585305297443,2826.9243181818183,2868.803733449272,2219.4453160056282,2344.999449191617,4
4433.6935666225145,2763.798499437299,2220.4133560657096,2713.2751915355266,2606.4423663187335,2168.0900930813473,2085.416478823,2407.6728626979575,2310.9329527040004,5
6540.087766952624,5208.5418221648815,4063.1604003681946,4978.975958212512,4611.431382365917,4805.638898373231,4169.522216644478,4582.463636052177,3986.23180554881,6
7745.817866743493,3092.3258020655817,3001.352446346762,6785.911405295625,2999.2038305112396,3467.351627900243,3419.077623784388,3590.8070317330826,2376.389395100109,7
6052.584950219348,4845.170211412496,4245.250063168412,5259.936001408477,4065.7918902744404,4179.169085748919,4672.433355563346,5350.0624506041095,4577.671427930345,8
6763.173036837913,3163.2889631312632,3011.0671138666457,4848.506986443944,2490.372179512623,3448.69708852411,2650.9688751934905,3265.3878632843744,2508.8360340208806,9
