mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
6263.313531446668,4996.621086309888,4141.216505113771,5151.291996176974,4019.341828783715,4199.686238490703,5212.607777777777,4707.159146810536,4535.156285935168,0
6514.765162310952,4696.351930873323,3855.1827161065553,5226.789526635453,3525.9293100968216,3407.9515934438555,3709.5492470331997,3482.882311884602,3807.184359402834,1
5039.54513717514,3277.8804895292724,2298.454745566069,3835.4255121154843,2832.7604809922536,1905.9351305101145,2938.1388465029927,3178.6631636579796,2920.244635481616,2
6549.628190633386,4682.949658662213,3655.1205741097206,5749.0226632066515,3983.0875814340684,3333.4153409080113,3166.02914426654,3693.4365567973027,2621.225293029509,3
5204.264612808216,2799.184357482307,2357.850077765412,3664.668177776247,3157.192229079234,2803.375838957975,3049.708162917239,3066.474438299547,2526.1496992135744,4
5349.064054282376,4254.369226387315,3218.272549742994,4693.096266675134,3947.2301263156364,4538.828487298496,3286.8171285594503,3897.5413331643344,3618.717635578819,5
5928.121222260228,4860.525391263492,3106.9038775014938,3953.536019482745,3339.9161931561316,3640.0526543692267,3034.741344442901,3991.695303329297,2803.7247014681425,6
6307.984187153217,2362.4043186441395,2332.6540304837354,4633.164625206514,2302.1221226110606,2082.1456139156553,2812.4715694821257,2375.002465215773,1989.3880022657997,7
7257.665581792011,3271.2651430092506,3082.7021298653144,5684.938717319523,3458.839678765903,2800.810996189714,2823.8742464258016,3200.609130314605,2768.6465158327924,8
4954.90245253219,4139.9124235976,2868.224455103929,4001.490837733618,3078.1087045337686,3015.3942815910664,3328.1218121511947,3505.8069990931394,3075.5093259557343,9
