mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
0.06632214873482888,0.012201449249554151,0.012248262747451564,0.012214534693320896,0.023110015789075608,0.017484338214874058,0.010572190360677814,0.024425022659536454,0.015446531684466093,0
0.0687442042722327,0.01219394234806827,0.012177974972686145,0.012156361555881632,0.02145290571560006,0.01732581765145918,0.00968127693116017,0.02451223311175228,0.013935174068878672,1
0.07701279387807416,0.012918393202235836,0.012949726238685115,0.012935047883323824,0.02183687356833056,0.016904148019610606,0.01072337073594184,0.025845510062432683,0.015582627879151063,2
0.07000234819125775,0.01305565520199274,0.013109136269360569,0.013066854484044887,0.019590482641955627,0.01747137403644599,0.011683111963898585,0.026122420196136018,0.01674380608921277,3
0.06750071518410296,0.012192238948874447,0.012261210092610197,0.012244783153863585,0.023359081802066424,0.016900629161732215,0.011115844090815284,0.023848838026181735,0.016012814206362833,4
0.07155387044549215,0.013472378900723787,0.013470043641138013,0.013464227730395906,0.02220259378623752,0.016713121324272075,0.011327293467692415,0.025772711438401052,0.01693384284981431,5
0.06930910675155781,0.011949097081249771,0.011987680450321333,0.011972593425657454,0.021369417532418673,0.01408144944967049,0.01008723475910902,0.022439253333949537,0.013534405848743054,6
0.06686797966655311,0.012802768858976014,0.012825655425146973,0.012801159031235302,0.020098068114290744,0.01569982110210562,0.010178149593893245,0.02258351426961437,0.014217693395125519,7
0.0687332775787523,0.013378166215011714,0.013483277855477437,0.01343248717043251,0.023702529237867857,0.019307958445020753,0.011374697831334357,0.02684740128830097,0.015746464933387005,8
0.06892623287620624,0.01316685441042571,0.013228051267976687,0.01318355259302342,0.022740674818767095,0.01744328397267135,0.010695478000604768,0.024810166860614893,0.01511130079182879,9
