mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
41214954.574416846,2793144.4510018043,2208779.034030431,5841332.816593405,2479091.37375,4689840.31,5950523.834814939,3748057.3369832872,1593793.2132652786,0
17706824.958271187,2948779.7589324163,3792949.552768082,10405370.64236592,2076673.177800443,2159376.229119668,10632973.892725693,4060879.2564473962,1920122.1518688088,1
24772119.690293536,2631152.779596743,4136081.1770551186,12185038.450112984,3508053.9975000005,3020690.366597224,15053745.308545303,5153561.605163539,5547151.656777316,2
19142049.681888476,4331970.74912911,4752010.5401481185,8952865.456318714,1825436.7335076472,7021391.196111112,12978303.603541667,5468673.326937407,4565573.473466907,3
51413556.80045785,22224466.117553897,23033615.676762007,25906360.842480842,9274702.54015625,11335717.911604563,13186614.056352738,17746641.564426973,7050917.4210395785,4
49323744.944569424,5333963.222794107,4227841.64679688,11127991.164240852,4734279.093125,6908867.482449081,16959232.62640625,7500911.999614797,2188835.730433187,5
60550241.27371754,15053909.938629316,10835496.686134776,11595952.233210381,7170672.933750002,15360252.298906252,8550172.174999999,8418401.228378817,12592549.82853802,6
46699078.75034843,4199397.1497474145,5652473.741268975,21732496.371038757,6830062.611729183,14045417.2632875,37780333.792414516,9173443.88054059,3431019.145256398,7
16581485.130550396,1878619.9369696386,2148617.8816126958,5352338.986202653,2937063.001160438,3079746.21828125,6380494.895791745,1558267.0759138712,4571193.4840153735,8
22728321.31805555,6739915.507074765,5656381.032124712,5082836.421639056,3659888.4473333335,5733369.385333333,4687812.306666669,6101329.599600447,7940979.222882054,9
