mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
42825310.21730281,4663571.6866629245,3253721.577569415,5577495.792327693,3376796.182986111,3199381.3804003317,8826469.899521846,3075128.6080188313,3065447.0245485296,0
34404929.9338843,2909571.4262517346,4071554.244878612,8690439.376579054,3251441.9700594684,2004219.1544124861,8885489.691319443,2592053.9352281056,3337764.5811708393,1
27078134.12647929,2271172.201403548,1289730.1348540531,2960204.886591481,3404101.078194445,2691482.982013889,8370766.161319446,6696163.349326686,4220910.419003765,2
24330452.058279138,5529992.894597318,6788993.683522683,14558014.32405376,4773771.8925,7953976.533331925,9768997.94801658,5437531.159925627,3661186.651282556,3
47587320.400936484,19526641.251409706,21156073.755042184,23427439.968099687,15998805.309317417,12565439.040351564,21925401.544868104,15531256.576061245,9069270.03483451,4
42687217.43556225,6385910.401236989,6953166.880375827,14676676.455956768,3924410.6876562494,6293826.752812502,9719326.786998812,7938191.806110197,6259588.501934823,5
31011624.3931213,2157756.252033578,2884806.3286688025,7162738.540729581,1592662.568357813,2689060.6945229387,8428293.882682374,3266119.0276124747,2574877.9805822587,6
15340083.271694215,6528750.144471084,7158458.751442847,7979693.984730851,7037064.375625,9013262.140833331,9897305.745474434,2297973.7283333335,4541440.475661806,7
40875430.198185116,7373754.460488931,5023890.135615615,26208173.66479307,9370167.05801554,15040104.027499998,24840236.494810622,11856812.099622717,3854823.0169537878,8
41528587.899739586,2724290.8980303043,2280977.2125854744,5988391.500454205,6322652.170706842,2894440.5086666658,16554246.440002356,2345757.4976998377,1393336.940826585,9
