mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
38964910.08023009,5090048.012002435,6638198.106585013,24098006.173473865,4229611.858819446,15322448.364999998,18110082.00090278,5824399.491285296,5370481.296689065,0
32170597.95747347,6020184.629905647,4927909.776001757,5926528.209364797,5089080.455277777,1665563.8737543398,2318744.0575866764,7272896.328158977,7013565.241523545,1
45668707.0735091,20763151.056359537,21786851.709869042,23119599.62680809,19640646.906402826,9700753.591911757,24011061.895335846,14085368.827131465,13009057.530165821,2
16619350.338436475,5503949.812169953,5299660.990245618,3930012.5149284494,1761153.4350000005,2389356.816527778,4135231.0059375004,2485953.7878175965,2767353.046876121,3
25251265.89565199,1863479.4155375788,1319650.4845830444,5430535.65709612,2387157.1166872582,3086598.5945305554,9838460.09000683,1898078.4687108425,1656992.1855369788,4
17107694.427698176,1992530.952725344,1848068.6132060376,1071589.888423693,1793078.1367361106,2710647.1513888896,4811482.513194444,2419014.6647439236,2233218.4347150093,5
51414499.08940841,4855209.873195928,7417846.048685579,28748498.104903586,5097347.206249999,8443050.101863561,14381361.449726565,5932482.725505294,1779379.2447675632,6
54022098.058132425,4413481.888049155,3567179.311412382,4940501.8522663005,2657521.0906249997,7271786.449375,16197105.529883098,5035406.530416605,4063555.325583427,7
48916911.28603477,5634401.450640199,4923783.171046838,6327062.804385921,7206482.0891481,5271150.114305556,16753319.28990017,4586404.723129062,4251769.334008794,8
15762946.308526237,3731253.5974849625,3228002.6677750614,6491947.9111557985,4567104.173670694,4772663.745480847,7272546.449429913,3752982.417865428,5016549.560883316,9
