mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
6972.2605464577955,3128.226471560676,2888.688894222552,5673.163116873561,3334.92329677831,2632.89870970558,3162.4977493734054,3844.0140179426785,3080.2030858052603,0
6063.966890638648,4482.019767134762,4119.34278617541,4712.984780327344,4046.3096913935838,3441.8667659555317,3672.4417341142034,3470.3079672631834,3846.538304275011,1
5473.811165810781,4084.02304286064,2796.1391233196377,4174.320608870447,3174.8452761471995,3185.7868535803723,2849.4786054130313,3132.898061364838,2824.5800631992697,2
5703.863341949583,3685.45765845463,2567.0508564204556,4276.17762658516,2114.498027698908,2349.307166404012,2302.105681818182,2916.4151665653962,2280.8301753409182,3
5476.84317028266,4944.826061026084,3366.056814653549,4496.155685538778,3804.0215560624374,3726.4784806399653,3479.25153338774,3991.269386391836,3439.2086634710217,4
5367.773973223817,3554.301250349972,2750.176067876979,4293.051400675733,3568.31405296337,3179.8096680506674,3352.990619158812,3925.98348459596,3797.4237180910973,5
8326.062053644193,5176.530027272933,4355.71634154326,7280.114451831251,4433.033556138383,5018.047727272728,4863.870031216455,4278.584204682952,4080.3603254867703,6
5216.708720050688,2919.5422745495966,1978.034605513062,3719.992823500939,2180.98287069837,1900.5564853215058,2144.536096371456,2029.0553011550153,2037.646192634957,7
4195.4822714532,3884.722722046677,2963.653054130308,3587.948177152634,3530.970911341392,3493.2076511244745,3364.84023553538,3049.3511003442723,2950.823153985072,8
6563.30966676691,4293.773277810805,3078.872832142279,5165.256548205896,3788.305412616281,3410.125635131853,3368.5467913755488,4192.006496730288,3238.8069394881068,9
