mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
5910.447133659176,4659.542673366014,3762.357398618366,4267.943476332052,3647.3475691702165,3815.6002106275505,3911.623437914324,3295.6758103574284,3760.541810212151,0
6740.694941842715,3903.316662547664,3435.0187214959224,6023.278392500673,3855.972757591485,3279.8423357163306,3207.1038319793247,4074.4281762430683,3914.813969126042,1
5349.940833105683,5109.781891123944,3023.3195091153375,4232.533705880444,3570.4395850103433,3458.0565951573035,4797.423503278491,3364.7427542628443,3390.372144786392,2
7314.226978313221,3251.9974070178646,2961.711035936279,5657.48277437371,2883.058654890158,2714.100339892047,2443.86803010962,3295.6517346612095,3042.3781493680026,3
6368.427184460448,5120.6216705378065,3126.681960519872,4923.277676240415,3573.608899523344,3429.4619178382254,3574.112727272727,3670.2696012730303,3959.48475935436,4
5406.591037072067,3561.3260477976746,3480.001212514155,4487.004196417499,3693.687998169875,4028.022666847682,3547.429704165879,3666.355061947724,3716.1057684212733,5
5463.349979109802,3524.527130056928,3013.5665579785405,4181.248577852844,2828.915089038767,2806.369568034646,3639.243428449421,2907.1675523858094,2752.30882763843,6
6529.1473223816665,3963.8213998535093,3816.7410814631075,6008.377469617236,2650.1744445921645,4171.716565452658,4593.264602605913,3716.570473547363,3274.374804068138,7
5590.684741087805,2678.3398821436194,2355.9064580666054,4391.9419612893325,2389.1076034002513,3172.2197067673014,3276.4169417192315,2937.5881126229247,2026.2062989893668,8
4844.356981917354,3807.8232871138725,2293.7319865994104,3751.0494430967665,2932.055326536506,2464.283860156104,3177.7109111651207,3046.6017761201456,2782.108390901807,9
