mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
6118.353250131655,3483.301424643781,2986.673525814864,4533.295566856567,2710.0092368116248,2465.9758227552816,3235.329442601942,3169.718674106416,2801.5850733354787,0
4487.837631522734,3400.7056870765487,2782.1977449111964,3205.206367300911,3169.2454525380112,3021.0465605781114,3061.3485644567636,3110.3694809108338,2881.7143941313334,1
5640.469706343504,4504.774020909855,2626.6558168871825,4579.0327553347015,2601.5262644289173,2515.2078277229284,2458.3039399957347,3242.5014259589707,2860.201091833304,2
7281.489632378429,4333.474471754668,3416.662720733341,6545.431227636034,4050.087144782368,3356.652272966191,3611.823091953636,4303.630359326205,2972.04049417221,3
5328.338063662305,4773.192765833901,3792.692861047888,4617.1776680540315,3886.488673277295,4477.590636868568,4735.343361020824,3949.930239325128,3772.4621969519267,4
5768.595473369589,3995.9787978934164,3121.0249812063325,4109.0931117810505,3624.4073845895255,3873.109899969824,3601.124690900193,3438.3230989693325,3319.484462024179,5
5493.680084410174,3330.104673246304,2584.814746727484,4557.252384737773,2664.639730985157,2771.668015754344,3554.9982735124886,2981.2863470271955,2408.2554969235775,6
7969.870488233768,3949.143323632124,3009.832587984363,6040.253543926022,3853.8193497394313,2598.3236989534616,4259.840454545454,3612.5466213401014,3201.1611518678487,7
6173.039831983123,3134.580882829138,3405.8610522930667,5007.543815423182,3732.7602272727268,3371.463762349959,4389.839320149266,3077.2445991312748,3183.271782045389,8
5377.851419615207,4381.403033063353,3562.200547482299,4910.1807548189745,3163.462615606295,3709.8291941214425,3393.2684090909092,3138.327696992388,4171.872488255982,9
