mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
5870.887511781969,5346.498896038913,3644.2438507529996,4705.688530289558,3392.889476865669,4184.636909396194,3965.188067270019,3552.0912632936074,3985.127680764174,0
5035.002081945405,2542.7075711151674,2246.397450760021,3654.3766012751335,2602.9837756105326,2409.562513582126,3171.315338251468,3106.5994290423973,2811.497534581141,1
7177.994594374338,2829.673911869318,2328.053977376774,5759.475924203792,2884.9893978127075,2247.9353600686063,2346.9619921673366,3269.7377908218596,2246.853842636429,2
6557.6362448377095,3888.0677390743235,3155.7874128779877,4782.46195681217,3694.0172716894526,3745.5954488932985,3699.828151973403,3882.193168209145,3445.5982310809586,3
4914.011357036438,3924.9698867636575,2556.630729155471,3155.2020530712707,3395.9073506474815,3464.3109577768846,3087.8975622062394,2858.3011103051217,2736.4948091702277,4
6795.460309197884,2998.333694266276,3180.605091278316,5172.650368758721,3193.991044126254,3075.873822912155,3585.8823578118536,3354.9262042334785,2799.3466803605234,5
4836.861900296366,2782.26646561267,2718.911229644684,3950.8329635628734,2373.0609469927367,2453.8798968162005,3331.580148829085,2702.369463956022,2789.376152899461,6
5279.655505141054,4574.691320245561,2792.715661761215,4392.205304041855,2986.7568566654622,3378.2321761309718,3605.2030347765617,3618.9774857645943,2886.2909905772003,7
6734.647120366566,5029.56770949347,3998.315814025073,5555.84778331767,3479.7659607069613,3506.209654685603,4423.614234604406,4407.540395556999,3847.795225163692,8
6195.967409569546,5443.012460815265,3994.3225829807675,5026.468829117629,4036.6943393399006,4155.27970171352,4440.919540020952,4274.256972397068,3932.7376554290386,9
