mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
11.66861290665695,6.649929712717809,7.031728406985272,10.04360624247853,5.765133910754917,5.439412747143148,5.405951073914411,6.517882846247578,5.977545732019274,0
12.401826948828406,6.550752351836869,6.659480880320342,8.425832379690837,5.578100821785903,5.331365820097133,5.646524192889575,6.843704792830659,5.713431157776671,1
9.64647353804538,,5.310112394075386,,4.423236547123059,4.290973882487817,4.320194306308142,4.881110588002746,4.813813169642105,2
9.49331957933097,5.097650480602326,5.382193737452305,7.063572152317232,4.61610480492836,4.029778332806362,4.309045215851416,5.164001859852434,4.70656486417104,3
9.682792729000324,4.30357048444162,4.912865560007482,6.643581427078518,3.933142705505809,3.7115047624482984,3.8956327192486575,4.427075865209793,4.180003471273222,4
10.70260368337151,5.756164727797657,6.199405614920803,7.872280265740725,4.724055255137658,4.52199886977981,4.387230290349234,5.889241892841521,5.46109475792522,5
9.975687362423646,5.093808277245148,5.518102674016861,7.328739846624142,5.0093643407810795,4.782063161432486,4.645764736662083,5.184703163789639,4.850357216556668,6
11.461704261534186,5.620094759430125,6.466015326035206,8.306159471236894,4.83999737678548,4.599156666054454,4.909089259671524,5.670627675947546,5.327874950713976,7
9.693073675735736,5.006389766296076,5.4619462875253815,7.157146941574909,4.35443581169334,4.3354446829911435,4.017870742743516,5.082425893494833,4.584203949811811,8
9.288309514170013,4.852795630119941,5.204054390733901,6.540786968853818,4.528950816112151,4.4401372084452735,4.758833678850729,4.888253037504292,4.726258242206562,9
