mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
233.13930663272754,38.74955028077443,41.746064414124376,72.32927201382593,46.91379310344827,20.84206896551724,48.734137931034496,41.57987714614063,21.934183833746143,0
228.9679348791579,41.41170789587791,79.36475466483299,133.24234693060944,50.66310799298208,53.53551724137932,50.71225055306165,52.47975727428292,49.64885081557701,1
180.9671744289332,63.12103016034154,68.59621260302637,113.02512627360649,61.190001431564426,82.75034482758623,64.31059173019932,58.79720850137845,65.08848253384389,2
229.92888623738875,61.461583358087026,54.81522014256408,67.04203123641676,40.89063084464395,52.40690292154479,36.068876965883845,42.655472802089605,47.048545533865315,3
143.74413190569197,33.78217690877458,45.24748989609743,81.24483412580618,55.4954554457378,25.884770121233547,29.08928571428572,34.44102016676798,34.46241429671459,4
228.73492431640625,68.60759270418104,95.36381325299894,158.55536920458596,84.70111737569914,69.08725854268081,92.2482142857143,79.82708509658997,81.92102532055652,5
281.18336486816406,44.72510332536139,69.18690308753264,177.02563688077723,55.44130942438686,55.182341157143306,87.22567727482998,38.11433912890151,51.113349394656986,6
247.80543518066406,58.83245608671841,62.462692843699855,104.73830671152189,112.6036681019428,32.55879235302332,31.166071428571428,55.91516567803457,54.61404465801784,7
137.76654706682478,35.872771785388686,39.63410880466802,89.04135846754808,53.17584772456518,63.4772661770373,29.140635350136467,44.17467340940233,42.09121556648949,8
226.54212951660156,37.25076440723802,91.87802896265428,186.88128252485805,40.47004967416077,67.80928844578372,38.70035714285715,30.521118701110797,58.09061704624334,9
