mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
5362.086210953829,3277.934161394635,2228.5100944928945,4348.573186955733,2542.6991424739117,2473.808362712776,3281.526888888888,3208.9996040866044,2402.189040773954,0
5100.077378406901,3756.5453367928826,2985.5823775073072,4211.433985623777,2909.181032483313,3050.074240440031,2983.863614802745,3094.746818843701,3032.1078623599024,1
4709.105024322159,3683.667348991674,2450.677085789051,3463.364820563331,3117.0385307303277,3238.8295454545455,3125.003434870203,2741.9766809951752,2098.8237656863616,2
6071.907781828282,3832.640863512669,3069.053316520582,4931.974980318355,3363.8916420555847,3240.1895275063366,3156.5427272727275,3157.400582067196,2964.7511554735097,3
8783.598723976209,5888.142810428286,4534.775285659866,7698.583078720007,5728.4931363175,3967.2417453365806,5717.459385294558,4667.521280015351,4494.824111826231,4
4157.516425778964,3687.8911170000097,2525.755572884566,2694.233950336219,2677.9866535896813,3006.2539925484857,2399.590681818182,2664.7792900797585,2918.8342537321055,5
6855.418462228917,4219.898621687168,3845.736613781296,5745.32300233369,3595.0497884429337,3736.0085472799487,4346.607045454545,4124.891862265743,3747.7349776668216,6
5272.956275782751,3138.286913949961,2978.2053257829407,4507.530354121906,2599.9020178641936,3469.0300151044025,2673.174970232564,3059.916705133097,2898.073207337699,7
5793.157723863723,5197.609615337434,2485.8032154787147,4120.718253784099,3582.9247314339586,3049.108523082944,2882.38637990239,3244.5113395894437,3053.460399988375,8
7531.400552901557,3974.1084541878035,3735.612852890729,6556.720236267243,3471.3028753702533,3620.4261005997846,3386.6517386410387,3591.0596713836885,3939.415681082253,9
