mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
171.01405082925663,48.04859263117253,68.85858319258554,153.62377779266862,34.58801785339879,37.475561190049646,29.082257928848204,33.52809272842816,42.12620402865951,0
201.75333041668324,62.77165492960184,82.3448359932805,179.90623592335407,50.88139466348174,55.59275862068966,32.14965517241379,51.17852685281977,37.90169505552891,1
187.04942714340638,26.60425334261477,61.530714873569096,100.94022199202553,71.94534891492565,63.01547430736885,45.83467202280673,41.841786412572134,22.989553988987115,2
217.24603269299607,71.1479828288972,77.05854041734138,112.14420983494968,83.49302318387848,89.0044827586207,75.13586206896551,59.230697748592156,55.67379417122639,3
260.0970197405134,34.34637847789295,67.15240107281424,108.80323448349698,57.206560114623535,63.49956255798533,67.45214285714285,27.310071176252762,34.029622491996015,4
199.63492039271765,55.972107857829464,78.33163952762929,88.19100187055851,59.76566282612756,55.32077564713442,80.68392857142855,57.71597126146454,47.35803736879501,5
216.361572265625,68.94728846376748,75.86249116482772,177.8804159259022,54.31903000460437,58.45178571428573,87.10109869424764,55.9495569226051,50.86822555868626,6
206.9772229875837,31.376661094123538,63.92923866518875,74.5709774585359,29.496264762913096,31.26112494564678,46.81544335119351,35.79768453426841,25.55456572644444,7
254.64391871861048,41.055143958085516,76.55012518205494,109.89342896925801,65.04026614366283,62.9242857142857,77.9964285714286,51.95909889939836,51.50097638689406,8
220.29658726283483,37.96493846111322,66.85568086211843,85.4232275362285,92.5460692590458,47.614261584444726,33.506215548087866,43.887819801396915,33.66696003443766,9
