mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
11024812.26393405,2456544.731113738,2442766.0113997804,853339.2942704761,3636747.3719835067,7232182.451154731,14821433.969060697,2577409.686634425,5006527.449380461,0
38224916.31693788,4144401.0339133395,3829407.294730191,7402187.365542905,4017582.4868750004,6955281.249861109,15423139.383161549,5863854.835172402,5928370.533399168,1
16506339.0421292,3348990.7844605045,2998051.5375346616,2258048.769157511,3258506.9739306383,2881748.896306422,4678489.487679434,3691180.718158243,2177722.1205256423,2
40125650.27104932,3393046.077326028,2107623.304080338,28155641.15094557,5617798.795927313,4566334.24828125,24900910.005625,5814465.624055809,2087964.4664450716,3
25849174.45044379,6733111.0464956965,4043699.0402646773,10615384.932524797,3102944.559628226,4657792.8125,6933732.020894419,7326682.285938679,11306998.691590682,4
44307348.61454716,3705278.0121561284,3672956.03394014,10497904.588131327,3474495.807500001,4864983.876875,16494529.40354745,3135117.5438655852,1416776.4848768085,5
25025031.193258233,2747958.3763801972,3200318.651449424,14806746.14567658,2307192.845222473,2690852.5674158167,14538528.934375,3208910.905943902,2204039.8492165958,6
70962451.82498533,23251718.23307154,25070192.97698883,32068935.245176584,10921901.153789062,27399076.210625004,27196627.817777775,15428431.545979794,16962789.253001746,7
49974472.68650362,2049986.3920548668,4043800.396438639,4439466.923865677,2478721.0749999997,8925450.790972222,6623325.924689734,5420624.120711926,4958034.439372972,8
27425574.171113033,15074240.280264987,14937121.948433943,22323610.506209247,5487684.921193614,12255204.089333335,19002031.56226349,6465932.099220536,4077478.9338755654,9
