mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
30886331.294861607,5590122.157661657,4644216.358072076,7032879.401717443,4253665.041774108,2762213.0713194446,11855577.032152778,4295301.642871822,4361238.179116962,0
19782605.695159297,2376573.8439196516,1649719.6985703597,5135199.6202527415,1365415.3507118057,949959.6816840284,1196833.6906250003,2122812.6472168476,1445898.1158108758,1
25660817.89927686,3301120.7344094473,3010618.931613284,6027494.367424428,3540586.5290703597,4149327.351875,7426214.576250001,5685196.352322508,1543931.592742838,2
30775751.81375923,2237921.892253965,3287677.3545148238,19335880.06089712,6473340.91125,5358545.534511281,18505392.555,3127288.9213992143,4478894.235539572,3
18889519.53806115,6551364.907130035,7010006.891323939,10463169.846612304,4291932.818559027,6117025.694305556,7458368.695,4890243.9921977,4116429.180852431,4
38472020.31829185,8212628.018933589,1714362.6066853504,24045777.47909362,1703837.4124999992,9769761.294374999,23535422.862465344,4562335.074725424,2755168.5450966796,5
26632013.061735906,3206669.216383276,2232599.1928189015,2441745.1200656123,3228599.8136111125,2671411.9812499997,20139453.624444444,5109184.308778116,4595828.50607783,6
37619843.08979351,1886166.366464003,1958439.8614313572,7266768.943625884,2708460.83,2565558.3078472214,11101809.571111111,4849182.687412441,1645556.7886896883,7
54276994.14688983,4422257.583067338,3970775.7079615165,11078788.162027754,6705905.005497333,7080338.560625,24101500.80375,3249368.49323838,3483750.8011097964,8
64515504.004513875,24732578.511516333,24857114.40089362,38197384.36292628,8320450.854296299,13858913.71065288,37811962.09633797,20703950.881464317,9524860.427686842,9
