mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
0.07002435422514301,0.01302619667901383,0.013037075761484372,0.013035936786879625,0.022972111717208782,0.015980260154729867,0.011059723279588323,0.02635361170740563,0.01650074072149366,0
0.07363274559795059,0.013038124593833732,0.013077833140369019,0.013043888301636282,0.02307571329444119,0.01619662387073166,0.010773746995556168,0.027355342123876948,0.016487633580437065,1
0.06916924656897687,0.011545824364239628,0.011558738578252525,0.011537159473600518,0.022181878982847417,0.017324557869531448,0.010834179144050644,0.024794895083908496,0.015538243048016454,2
0.07366022240192856,0.01343736595649809,0.01349454525021789,0.013458560365117484,0.022570740162101335,0.017750541808272884,0.0114718343497326,0.027261819028741294,0.016940286369947405,3
0.06687940889503179,0.013955247390942038,0.013965967760761366,0.013939201674756816,0.022481392545623712,0.017144293010138836,0.011537652980568865,0.02514636534941781,0.01557969439153133,4
0.07020550821357124,0.012091329996687182,0.012187089761817965,0.012142717640016358,0.019765750825972084,0.017081772690241664,0.010871608859875922,0.024532418575114606,0.014238278306834135,5
0.06730537652963348,0.012875615425864505,0.012963562806334851,0.012937747606657885,0.021611689345680273,0.017846637784896036,0.010835270765010554,0.024886388131089437,0.01631489063455055,6
0.06475749497674173,0.012229706600276245,0.01229806848102374,0.012278627092181752,0.023178904890548396,0.017004162073666017,0.010135681901719226,0.023749536891053767,0.015048189957670969,7
0.07042990854051259,0.01189009392291353,0.011916449513116458,0.011866519334522364,0.021614526489389184,0.015897394558685447,0.010084619240256977,0.025351682019096388,0.015409618744376847,8
0.06874951182415039,0.01230519370560285,0.012356345803533128,0.012318101334351987,0.021764441904446447,0.015042810829090642,0.010016473031746544,0.024883258577031282,0.015094491131422305,9
